Компания,Сайт,Имя,Email,Должность,Ниша,Персонализация,Тип_контакта,MX_домена,MX_ok,РФ_домен,Источник_персонализации,QA_флаги
Jivo,https://www.jivo.ru,Отдел продаж,sales@jivo.ru,Sales,Чаты B2B,"Jivo (ранее JivoSite) – чат на сайт, телефония и обратные звонки, прием сообщений из соцсетей, мессенджеров, приложений и e-mail, корпоративный чат и встроенные CRM-возможности.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Kaspersky,https://www.kaspersky.ru/enterprise-security,Отдел продаж,sales@kaspersky.ru,Sales,Кибербезопасность,"Kaspersky: Корпоративные решения и сервисы «Лаборатории Касперского» защищают крупные предприятия от киберугроз любой сложности. Узнайте, как «Лаборатория Касперского» может обеспечить безопасность ваших корпоративных активов и бесперебойную работу вашего бизнеса в цифровой среде.",role-based (публичный корпоративный ящик),MX found,True,True,website,
LPTracker,https://lptracker.ru,Отдел продаж,sales@lptracker.ru,Sales,CRM / лиды,"LPTracker: ЛП Трекер - официальный сайт компании. Голосовые роботы, CRM система, аналитика эффективности рекламы, воронка продаж, захват посетителей на сайте.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Mango Office,https://www.mango-office.ru,Отдел продаж,sales@mango-office.ru,Sales,Телефония,"Облачные бизнес-коммуникации MANGO OFFICE берегут самое ценное — Ваши деньги и Ваше время. Удобное, быстрое и надежное средство телефонизации бизнеса по всей России",role-based (публичный корпоративный ящик),MX found,True,True,website,
Mindbox,https://mindbox.ru,Офис продаж,info@mindbox.ru,Sales,MarTech,"Омниканальная маркетинговая платформа Mindbox объединяет CDP, рассылки, персонализацию и аналитику для автоматизации маркетинга и роста выручки.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Naumen,https://www.naumen.ru,Отдел продаж,info@naumen.ru,Sales,ITSM,"Naumen: Вендор и интегратор решений для бизнеса и органов власти. Российские разработки, способные лидировать на мировом рынке",role-based (публичный корпоративный ящик),MX found,True,True,website,
Okdesk,https://okdesk.ru,Отдел продаж,sales@okdesk.ru,Sales,Helpdesk,"Okdesk: Автоматизируйте поддержку, наведите порядок в рабочих процессах, получите контроль за полнотой и качеством работ и обеспечьте прозрачность для заказчиков.",role-based (публичный корпоративный ящик),MX found,True,True,website,
OnlinePBX,https://www.onlinepbx.ru,Отдел продаж,sales@onlinepbx.ru,Sales,Облачная АТС,"Виртуальная АТС onlinePBX — облачная телефония для МСБ с безлимитной записью звонков, интеграцией 30+ CRM, бизнес-аналитикой и техподдержкой 24/7. Подключение за 20 минут от 690₽/мес.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Positive Technologies,https://www.ptsecurity.com/ru-ru,Отдел продаж,sales@ptsecurity.com,Sales,Кибербезопасность,"Positive Technologies: Технологично предотвращаем угрозы для бизнеса и государства. Создаем реальную защиту от кибератак, используя собственные технологии, которые обеспечивают высокую результативность и создают непреодолимый барьер для злоумышленников.",role-based (публичный корпоративный ящик),MX found,True,True,website,название ≠ сайт
RetailCRM,https://www.retailcrm.ru,Отдел продаж,sales@retailcrm.ru,Sales,eCom CRM,"RetailCRM: Омниканальная CRM, где в едином окне: единый профиль покупателя, рассылки, программа лояльности, работа с заказами. ✅ Активируйте пробный период и попробуйте",role-based (публичный корпоративный ящик),MX found,True,True,website,
SearchInform,https://searchinform.ru,Отдел продаж,info@searchinform.ru,Sales,Кибербезопасность,SearchInform: «СёрчИнформ» – российский разработчик средств информационной безопасности и инструментов для защиты информации.,role-based (публичный корпоративный ящик),MX found,True,True,website,
Selectel,https://selectel.ru,Отдел продаж,sales@selectel.ru,Sales,Облако,Selectel: Арендуйте IT-инфраструктуру в дата-центрах Москвы и Петербурга. Комплексные IaaS и PaaS-решения для разных категорий бизнеса: от индивидуальных предпринимателей до крупных корпораций,role-based (публичный корпоративный ящик),MX found,True,True,website,
SimpleOne,https://simpleone.ru,Отдел продаж,info@simpleone.ru,Sales,ITSM,Экосистема продуктов SimpleOne для low-code автоматизации бизнес-процессов и масштабирования сервисного подхода в подразделениях компании.,role-based (публичный корпоративный ящик),MX found,True,True,website,
Softline,https://softline.ru,Отдел продаж,info@softline.ru,Sales,IT-дистрибуция,"Softline: Софтлайн Решения — лидирующий в России ИТ-поставщик продуктов и услуг в области цифровой трансформации и информационной безопасности, объединяющий решения партнеров - лидеров всех сегментов и индустрий российского ИТ-рынка, а также решения собственной разработки, которые…",role-based (публичный корпоративный ящик),MX found,True,True,website,
StaffLine,https://staffline.ru,Отдел продаж,info@staffline.ru,Sales,Рекрутинг,Кадровое агентство StaffLine в Москве. Профессиональный поиск и подбор персонала. Стоимость кадровых услуг уточняйте по телефону или на сайте.,role-based (публичный корпоративный ящик),MX found,True,True,website,
StartExam,https://startexam.ru,Отдел продаж,info@startexam.ru,Sales,Оценка персонала,HR-платформа StartExam — единая система для автоматизации оценки и развития сотрудников. Более 5 000 000 тестирований ежегодно.,role-based (публичный корпоративный ящик),MX found,True,True,website,
Texterra,https://texterra.ru,Отдел продаж,info@texterra.ru,Sales,Digital-агентство,"Агентство TexTerra: продвижение брендов через интернет-маркетинг. Полный комплекс услуг для продвижения вашего бизнеса. 17 лет на рынке, более 3000 реализованных проектов",role-based (публичный корпоративный ящик),MX found,True,True,website,
TrueConf,https://trueconf.ru,Отдел продаж,info@trueconf.ru,Sales,ВКС,TrueConf: Наша компания предоставляет необходимое программное обеспечение для видеоконференций UltraHD качества в локальной сети и через интернет. Система Труконф идеально подходит для Вашего бизнеса.,role-based (публичный корпоративный ящик),MX found,True,True,website,
UIS,https://www.uiscom.ru,Отдел продаж,sales@uiscom.ru,Sales,Телефония,UIS: Единая система управления коммуникациями в маркетинге и продажах. Аналитика и контроль всех видов коммуникаций компании с клиентом. Увеличение эффективности омниканального маркетинга .,role-based (публичный корпоративный ящик),MX found,True,True,website,
Usedesk,https://usedesk.ru,Отдел продаж,sales@usedesk.ru,Sales,Helpdesk,"Usedesk: Хелпдеск для клиентской поддержки на русском языке с ИИ-функциями. Используйте систему для учёта и обработки обращений, автоматизации службы поддержки и контроля качества. Поддерживает до 20 каналов коммуникации.",role-based (публичный корпоративный ящик),MX found,True,True,website,
amoCRM,https://www.amocrm.ru,Отдел продаж,support@amocrm.ru,Sales,CRM,"Система amoCRM – удобная web программа для анализа продаж, доступная в режиме online из любой точки мира! Подробности узнавайте по указанным на сайте телефонам в Москве.",role-based (публичный корпоративный ящик),MX found,True,True,website,
iSpring,https://www.ispring.ru,Отдел продаж,sales@ispring.ru,Sales,EdTech B2B,Программы для онлайн-обучения iSpring: система обучения сотрудников и конструктор курсов. Входим в Единый реестр российского ПО.,role-based (публичный корпоративный ящик),MX found,True,True,website,
Битрикс24,https://www.bitrix24.ru,Отдел продаж,sales@bitrix24.ru,Sales,CRM,"Битрикс24 — это полный комплект бесплатных инструментов для ведения бизнеса: CRM, конструктор сайтов и интернет-магазинов, система управления проектами, контакт-центр и единое пространство для общения всех сотрудников компании. Создайте Битрикс24 бесплатно за 10 минут",role-based (публичный корпоративный ящик),MX found,True,True,website,
Диасофт,https://diasoft.ru,Отдел продаж,info@diasoft.ru,Sales,ПО для финансов,"Диасофт - автоматизированные банковские системы, дистанционное банковское обслуживание (ДБО) и управление отчетностью. Российский разработчик программного обеспечения. Diasoft - это разработка, внедрение, сопровождение программного обеспечения для банков, страховых компаний и…",role-based (публичный корпоративный ящик),MX found,True,True,website,
Искролайн,https://iskroline.ru,Отдел продаж,sales@iskroline.ru,Sales,Аналитическое оборудование,"Искролайн: Российские современные эмиссионные спектрометры для анализа металлов и сплавов. Производство Искролайн, продажа и обслуживание атомно-эмиссионных экспресс спектрометров.",role-based (публичный корпоративный ящик),MX found,True,True,website,
КРОК,https://www.croc.ru,Отдел продаж,info@croc.ru,Sales,IT-интегратор,"КРОК: Комплексная экспертиза в области ИТ-инфраструктуры, внедрении информационных систем, создании программных решений и сервисной поддержки.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Кайтен,https://kaiten.ru,Отдел продаж,sales@kaiten.ru,Sales,SaaS / задачики,"Кайтен — платформа для управления проектами и задачами, которая помогает командам работать быстрее и продуктивнее. Удобные инструменты и наглядные доски.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Клеверенс,https://www.cleverence.ru,Отдел продаж,sales@cleverence.ru,Sales,Mobile logistics,"Клеверенс - компания и программы для бизнеса. Мы помогаем производителям, продавцам и системным интеграторам решать задачи сканирования Штрихкодов и RFID-меток при помощи мобильных приложений, чтобы каждый сотрудник склада, магазина, производства решал поставленные…",role-based (публичный корпоративный ящик),MX found,True,True,website,
МТС Линк,https://mts-link.ru,Отдел продаж,sales@mts-link.ru,Sales,ВКС,"МТС Линк: проведение встреч и совещаний, вебинаров, курсов и мероприятий, корпоративный мессенджер и онлайн-доски, конструктор форм и опросов. Сервисы МТС Линк: Встречи, Вебинары, Чаты, Доски, Курсы, Формы и Comdi.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Мегаплан,https://megaplan.ru,Отдел продаж,sales@megaplan.ru,Sales,CRM / задачики,"Мегаплан — система управления бизнесом для команд и компаний. Подходит для производства, оптовых продаж, строительства и сферы услуг. Простой интерфейс, прозрачная подписка без скрытых платежей и внедрение от разработчиков. Бесплатный доступ на 14 дней.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Модульбанк,https://modulbank.ru,Отдел продаж,support@modulbank.ru,Sales,Банк для бизнеса,Сайт компании на момент сбора недоступен — персонализацию нужно добрать вручную (LinkedIn / новости / 2ГИС).,role-based (публичный корпоративный ящик),MX found,True,True,unavailable,сайт недоступен
МойСклад,https://www.moysklad.ru,Отдел продаж,sales@moysklad.ru,Sales,Учёт,"МойСклад — первая в России облачная ERP-система для малого и среднего бизнеса. Управляйте торговлей, складом или производством. Автоматизируйте магазин с экономией до 50%. У нас на сайте БЕСПЛАТНО начните работу с программой, а поддержка 24/7 поможет на старте.",role-based (публичный корпоративный ящик),MX found,True,True,website,
ПланФикс,https://planfix.ru,Отдел продаж,sales@planfix.ru,Sales,Управление работой,"ПланФикс: Planfix это центр управления компанией. Здесь ставят и выполняют задачи, управляют проектами, планируют работу и достигают цели.",role-based (публичный корпоративный ящик),MX found,True,True,website,
Простые звонки,https://prostiezvonki.ru,Отдел продаж,info@prostiezvonki.ru,Sales,Телефония+CRM,"Простые Звонки — облачный сервис для связи телефонии и CRM. Полный контроль офисных телефонов, смартфонов на Android. Работайте в привычных базах клиентов ☎ + 7 (499) 703 35 90",role-based (публичный корпоративный ящик),MX found,True,True,website,
РИЦ Техносфера,https://technosphera.ru,Отдел продаж,sales@technosphera.ru,Sales,B2B поставки / техника,РИЦ Техносфера: ... Помогайбин История психологии: эволюция основ.,role-based (публичный корпоративный ящик),MX found,True,True,website,
Рег.ру,https://www.reg.ru,Отдел продаж,sales@reg.ru,Sales,Домены / хостинг,"Рег.ру - Российский хостинг-провайдер и регистратор доменов. Домены, хостинг сайтов и DNS-серверов. Облачные VDS/VPS, выделенные серверы в аренду. Конструктор сайтов и CMS, продажа SSL-сертификатов, почта для доменов.",role-based (публичный корпоративный ящик),MX found,True,True,website,
СКБ Контур,https://kontur.ru,Клиентский сервис,info@kontur.ru,Sales,SaaS / ЭДО,"СКБ Контур: Контур — ведущий разработчик онлайн-сервисов для бухгалтерии и бизнеса. SAAS-продукты от Контур выбирают тысячи предприятий по всей России для сдачи отчетности, обмена электронными документами и ведения бухгалтерии.",role-based (публичный корпоративный ящик),MX found,True,True,website,
